ranking,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
33,653,Guangdong University of Technology,China,Guangzhou,79.0,46.8,"46,040",https://www.usnews.com/education/best-global-universities/guangdong-university-of-technology-529270
34,304,Sichuan University,China,Chengdu,78.7,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
35,282,China University of Geosciences,China,Wuhan,78.3,59.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-geosciences-506930
36,298,Beijing Institute of Technology,China,Beijing,77.3,58.4,N/A,https://www.usnews.com/education/best-global-universities/beijing-institute-of-technology-504704
37,643,East China University of Science & Technology,China,Shanghai,76.9,47.1,"28,718",https://www.usnews.com/education/best-global-universities/east-china-university-of-science-technology-505997
38,95,King Abdullah University of Science & Technology,Saudi Arabia,Thuwal,76.7,70.6,N/A,https://www.usnews.com/education/best-global-universities/king-abdullah-university-of-science-technology-510489
39,673,Zhejiang University of Technology,China,Hangzhou,76.1,46.4,N/A,https://www.usnews.com/education/best-global-universities/zhejiang-university-of-technology-529071
40,421,Beijing University of Chemical Technology,China,Beijing,75.7,53.9,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-chemical-technology-501098
41,618,Nanjing Tech University,China,Nanjing,75.7,47.9,"38,866",https://www.usnews.com/education/best-global-universities/nanjing-tech-university-501774
42,129,Sun Yat Sen University,China,Guangzhou,75.6,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
43,368,Shandong University,China,Jinan,75.5,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
44,120,City University of Hong Kong,Hong Kong,Kowloon,75.3,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
45,160,Curtin University,Australia,Bentley,75.2,65.8,"29,999",https://www.usnews.com/education/best-global-universities/curtin-university-503377
46,394,Islamic Azad University,Iran,Tehran,74.7,54.6,N/A,https://www.usnews.com/education/best-global-universities/islamic-azad-university-528829
47,112,University of Technology Sydney,Australia,Ultimo,74.2,69.0,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
48,37,Monash University,Australia,Clayton,73.5,77.0,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
49,39,Peking University,China,Beijing,73.4,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
50,150,Wuhan University,China,Wuhan,73.2,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
51,213,Southern University of Science & Technology,China,Shenzhen,72.9,62.3,N/A,https://www.usnews.com/education/best-global-universities/southern-university-of-science-technology-529428
52,234,Southeast University - China,China,Nanjing,72.4,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
53,688,Donghua University,China,Shanghai,72.2,46.0,"23,598",https://www.usnews.com/education/best-global-universities/donghua-university-500299
54,165,Technical University of Denmark,Denmark,Kongens Lyngby,72.2,65.5,"9,599",https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
55,377,Shandong University of Science & Technology,China,Qingdao,72.0,55.1,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-of-science-technology-529480
56,50,KU Leuven,Belgium,Leuven,71.9,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
57,37,University of New South Wales Sydney,Australia,Kensington,71.9,77.0,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
58,247,Xiamen University,China,Xiamen,71.9,60.7,N/A,https://www.usnews.com/education/best-global-universities/xiamen-university-506410
59,256,Nankai University,China,Nankai,71.7,60.3,"31,322",https://www.usnews.com/education/best-global-universities/nankai-university-505981
60,441,Hanyang University,South Korea,Seoul,71.4,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
61,5,University of Oxford,United Kingdom,Oxford,71.4,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
62,8,University of Cambridge,United Kingdom,Cambridge (U.K.),71.0,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
63,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,70.5,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
64,421,Jilin University,China,Changchun,70.3,53.9,N/A,https://www.usnews.com/education/best-global-universities/jilin-university-506709
65,213,King Saud University,Saudi Arabia,Riyadh,70.3,62.3,"33,931",https://www.usnews.com/education/best-global-universities/king-saud-university-503764
66,199,RWTH Aachen University,Germany,Aachen,70.2,63.0,"39,738",https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
67,379,Universiti Teknologi Malaysia,Malaysia,Johor,70.2,55.0,"19,974",https://www.usnews.com/education/best-global-universities/universiti-teknologi-malaysia-528827
