ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
26,cardiac-cardiovascular,107,University of Bern,Switzerland,Bern,72.9,69.3,"11,740",https://www.usnews.com/education/best-global-universities/university-of-bern-505657
27,cardiac-cardiovascular,70,Boston University,United States,Boston,72.6,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988
28,cardiac-cardiovascular,127,Uppsala University,Sweden,Uppsala,72.2,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990
29,cardiac-cardiovascular,51,Karolinska Institutet,Sweden,Stockholm,71.9,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
30,cardiac-cardiovascular,138,McMaster University,Canada,Hamilton,71.7,67,N/A,https://www.usnews.com/education/best-global-universities/mcmaster-university-502196
31,cardiac-cardiovascular,34,University of Edinburgh,United Kingdom,Edinburgh,71.7,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
32,cardiac-cardiovascular,11,Yale University,United States,New Haven,70.8,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
33,cardiac-cardiovascular,16,University of California San Francisco,United States,San Francisco,70.7,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
34,cardiac-cardiovascular,31,New York University,United States,New York City,70.6,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
35,cardiac-cardiovascular,89,University of Oslo,Norway,Oslo,70.5,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
36,cardiac-cardiovascular,835,Wroclaw Medical University,Poland,Wroclaw,70.4,42.3,"6,373",https://www.usnews.com/education/best-global-universities/wroclaw-medical-university-529400
37,cardiac-cardiovascular,397,Laval University,Canada,Quebec City,70.3,54.5,"28,611",https://www.usnews.com/education/best-global-universities/laval-university-505699
38,cardiac-cardiovascular,65,Erasmus University Rotterdam,Netherlands,Rotterdam,70.2,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
39,cardiac-cardiovascular,35,University of British Columbia,Canada,Vancouver,70.2,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
40,cardiac-cardiovascular,8,University of Cambridge,United Kingdom,Cambridge (U.K.),70.1,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
41,cardiac-cardiovascular,100,Queen Mary University London,United Kingdom,London (U.K.),70,70.2,"20,485",https://www.usnews.com/education/best-global-universities/queen-mary-university-london-503389
