ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
53,energy-fuels,230,North Carolina State University,United States,Raleigh,67.1,61.5,"31,527",https://www.usnews.com/education/best-global-universities/north-carolina-state-university-199193
54,energy-fuels,24,Northwestern University,United States,Evanston,66.7,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
55,energy-fuels,43,University of Texas Austin,United States,Austin,66.7,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
56,energy-fuels,196,Tongji University,China,Shanghai,66.2,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
57,energy-fuels,247,Xiamen University,China,Xiamen,65.9,60.7,N/A,https://www.usnews.com/education/best-global-universities/xiamen-university-506410
58,energy-fuels,368,Shandong University,China,Jinan,65.5,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
59,energy-fuels,65,King Abdulaziz University,Saudi Arabia,Jeddah,65,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
60,energy-fuels,271,Shenzhen University,China,Shenzhen,65,59.6,"38,240",https://www.usnews.com/education/best-global-universities/shenzhen-university-529041
61,energy-fuels,253,Beihang University,China,Beijing,64.2,60.5,N/A,https://www.usnews.com/education/best-global-universities/beihang-university-502158
62,energy-fuels,37,Monash University,Australia,Clayton,63.1,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
63,energy-fuels,282,China University of Geosciences,China,Wuhan,63,59.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-geosciences-506930
64,energy-fuels,653,Guangdong University of Technology,China,Guangzhou,62.9,46.8,"46,040",https://www.usnews.com/education/best-global-universities/guangdong-university-of-technology-529270
65,energy-fuels,129,Sun Yat Sen University,China,Guangzhou,62.4,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
66,energy-fuels,441,University of Science & Technology Beijing,China,Beijing,61.8,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-science-technology-beijing-506176
67,energy-fuels,53,Chinese University of Hong Kong,Hong Kong,Shatin,61.2,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
68,energy-fuels,213,Southern University of Science & Technology,China,Shenzhen,61.2,62.3,N/A,https://www.usnews.com/education/best-global-universities/southern-university-of-science-technology-529428
69,energy-fuels,36,University of Queensland,Australia,Brisbane,61.1,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
70,energy-fuels,29,ETH Zurich,Switzerland,Zurich,60.8,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
71,energy-fuels,226,Karlsruhe Institute of Technology,Germany,Karlsruhe,60.7,61.6,"22,689",https://www.usnews.com/education/best-global-universities/karlsruhe-institute-of-technology-502442
72,energy-fuels,234,Southeast University - China,China,Nanjing,60.6,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
73,energy-fuels,300,Western University (University of Western Ontario),Canada,London (Canada),59.7,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
74,energy-fuels,240,Royal Institute of Technology,Sweden,Stockholm,58.9,61,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
75,energy-fuels,618,Nanjing Tech University,China,Nanjing,58.5,47.9,"38,866",https://www.usnews.com/education/best-global-universities/nanjing-tech-university-501774
76,energy-fuels,19,University of Michigan,United States,Ann Arbor,58.4,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
77,energy-fuels,441,Hanyang University,South Korea,Seoul,58.1,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
78,energy-fuels,421,Jilin University,China,Changchun,57.7,53.9,N/A,https://www.usnews.com/education/best-global-universities/jilin-university-506709
79,energy-fuels,379,Universiti Teknologi Malaysia,Malaysia,Johor,57.7,55,"19,974",https://www.usnews.com/education/best-global-universities/universiti-teknologi-malaysia-528827
80,energy-fuels,304,Sichuan University,China,Chengdu,57.5,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
81,energy-fuels,18,University of Toronto,Canada,Toronto,56.9,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
82,energy-fuels,84,Pennsylvania State University,United States,University Park,56.8,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
83,energy-fuels,360,Ulsan National Institute of Science & Technology (UNIST),South Korea,Ulsan,56.2,55.7,N/A,https://www.usnews.com/education/best-global-universities/ulsan-national-institute-of-science-technology-unist-528883
84,energy-fuels,28,University of Sydney,Australia,Sydney,55.7,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
85,energy-fuels,223,Ton Duc Thang University,Vietnam,Ho Chi Minh City,55.6,61.8,N/A,https://www.usnews.com/education/best-global-universities/ton-duc-thang-university-529637
86,energy-fuels,256,Nankai University,China,Nankai,55.5,60.3,"31,322",https://www.usnews.com/education/best-global-universities/nankai-university-505981
87,energy-fuels,342,Eindhoven University of Technology,Netherlands,Eindhoven,55.4,56.4,N/A,https://www.usnews.com/education/best-global-universities/eindhoven-university-of-technology-501655
88,energy-fuels,12,University College London,United Kingdom,London (U.K.),55.4,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
89,energy-fuels,160,Curtin University,Australia,Bentley,54.6,65.8,"29,999",https://www.usnews.com/education/best-global-universities/curtin-university-503377
90,energy-fuels,297,Polytechnic University of Milan,Italy,Milan,54.6,58.5,N/A,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-milan-502229
91,energy-fuels,267,Norwegian University of Science & Technology (NTNU),Norway,Trondheim,54.2,59.8,"37,759",https://www.usnews.com/education/best-global-universities/norwegian-university-of-science-technology-ntnu-503599
