ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
123,biotechnology-applied-microbiology,178,Aix-Marseille Universite,France,Marseille,38.4,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
124,biotechnology-applied-microbiology,643,East China University of Science & Technology,China,Shanghai,38,47.1,"28,718",https://www.usnews.com/education/best-global-universities/east-china-university-of-science-technology-505997
125,biotechnology-applied-microbiology,123,Nanjing University,China,Nanjing,37.9,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
126,biotechnology-applied-microbiology,150,Wuhan University,China,Wuhan,37.8,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
127,biotechnology-applied-microbiology,45,University of Pittsburgh,United States,Pittsburgh,37.6,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
128,biotechnology-applied-microbiology,392,Dalian University of Technology,China,Dalian,37.3,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
129,biotechnology-applied-microbiology,219,Xi'an Jiaotong University,China,Xi'an,37.3,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
130,biotechnology-applied-microbiology,379,Chongqing University,China,Chongqing,37.2,55,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
131,biotechnology-applied-microbiology,140,Kyoto University,Japan,Kyoto,37.2,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
132,biotechnology-applied-microbiology,247,Universidade do Porto,Portugal,Porto,37.2,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
133,biotechnology-applied-microbiology,136,University of Alberta,Canada,Edmonton,37.2,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
134,biotechnology-applied-microbiology,156,University of Milan,Italy,Milan,37.2,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
135,biotechnology-applied-microbiology,240,Royal Institute of Technology,Sweden,Stockholm,37.1,61,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
136,biotechnology-applied-microbiology,394,Islamic Azad University,Iran,Tehran,36.8,54.6,N/A,https://www.usnews.com/education/best-global-universities/islamic-azad-university-528829
137,biotechnology-applied-microbiology,225,University of Tennessee Knoxville,United States,Knoxville,36.8,61.7,"27,308",https://www.usnews.com/education/best-global-universities/university-of-tennessee-knoxville-221759
