ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
32,endocrinology-metabolism,48,Universite de Paris,France,Paris,68.9,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
33,endocrinology-metabolism,37,University of New South Wales Sydney,Australia,Kensington,68.7,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
34,endocrinology-metabolism,39,University of Amsterdam,Netherlands,Amsterdam,68.3,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
35,endocrinology-metabolism,112,Lund University,Sweden,Lund,68,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
36,endocrinology-metabolism,32,Washington University (WUSTL),United States,St. Louis,68,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
37,endocrinology-metabolism,89,University of Birmingham,United Kingdom,Birmingham (U.K.),67.7,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
38,endocrinology-metabolism,34,University of Edinburgh,United Kingdom,Edinburgh,67.5,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
39,endocrinology-metabolism,37,Monash University,Australia,Clayton,67,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
40,endocrinology-metabolism,99,University of Helsinki,Finland,Helsinki,66.8,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
41,endocrinology-metabolism,186,Technische Universitat Dresden,Germany,Dresden,66.7,63.6,"30,578",https://www.usnews.com/education/best-global-universities/technische-universitat-dresden-501011
42,endocrinology-metabolism,127,Uppsala University,Sweden,Uppsala,66.5,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990
43,endocrinology-metabolism,70,Boston University,United States,Boston,66.2,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988
44,endocrinology-metabolism,14,University of California Los Angeles,United States,Los Angeles,66.2,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
45,endocrinology-metabolism,63,University of Manchester,United Kingdom,Manchester,66,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
46,endocrinology-metabolism,115,University of Padua,Italy,Padua,66,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
47,endocrinology-metabolism,60,Universite Paris Saclay,France,Saint-Aubin,65.7,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
48,endocrinology-metabolism,98,University of Florida,United States,Gainesville,65.6,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
49,endocrinology-metabolism,45,University of Pittsburgh,United States,Pittsburgh,65.6,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
50,endocrinology-metabolism,219,University of Pisa,Italy,Pisa,65.5,61.9,"34,459",https://www.usnews.com/education/best-global-universities/university-of-pisa-501006
51,endocrinology-metabolism,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,65.4,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
52,endocrinology-metabolism,74,Leiden University,Netherlands,Leiden,65.3,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
53,endocrinology-metabolism,88,University of Groningen,Netherlands,Groningen,65.3,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
54,endocrinology-metabolism,261,University of Southern Denmark,Denmark,Odense,64.8,60.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-southern-denmark-500382
